Nomor Perkara,Tanggal Penetapan,Nama Panitera Pengganti,Aktif
129/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 29 Nov. 2017",AGUS WAWAN,Ya
128/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 29 Nov. 2017",MIS NANI BM GULTOM,Ya
130/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 06 Des. 2017",MARTHIN TURNIP,Ya
130/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 06 Des. 2017","ROMA SIALLAGAN, SH.",Ya
130/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 06 Des. 2017",YURIS DHETIAWAN,Ya
131/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 18 Des. 2017",EKO BUDIARNO,Ya
132/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 19 Des. 2017","ENDANG_PURWANINGSIH, SH.",Ya
1/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 03 Jan. 2018",DHENY INDARTO,Ya
1/Pid.Sus-TPK/2018/PN Jkt.Pst,"Rabu, 03 Jan. 2018","TATI DORESLY SIMAMORA, SH",Ya
2/Pid.Sus-TPK/2018/PN Jkt.Pst,"Kamis, 04 Jan. 2018",TASTAO SIANIPAR,Ya
96/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 21 Jul. 2017",ALDINO HERYANTO,Ya
95/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 21 Jul. 2017","R.IDA ISKANDIASTUTI, SH.",Ya
98/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 24 Jul. 2017",ALDINO HERYANTO,Ya
97/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 24 Jul. 2017","SUSWANTI, SH.",Ya
99/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 31 Jul. 2017","ENDANG_PURWANINGSIH, SH.",Ya
100/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 07 Agu. 2017",EDWARD WILLY,Ya
100/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 07 Agu. 2017","SURYONO, SH.",Ya
102/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017",MARTHIN TURNIP,Ya
101/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017",YURIS DHETIAWAN,Ya
105/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017","ZUHERNA, SH.",Ya
104/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017",ACHMAD DINDIN JUNAEDI,Ya
103/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 08 Agu. 2017","SURYONO, SH.",Ya
106/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 09 Agu. 2017","YETTI, SH.",Ya
108/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 25 Agu. 2017",YURIS DHETIAWAN,Ya
107/Pid.Sus-TPK/2017/PN Jkt.Pst,"Jumat, 25 Agu. 2017",MARTHIN TURNIP,Ya
109/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 29 Agu. 2017",EKO BUDIARNO,Ya
110/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 10 Okt. 2017","R.IDA ISKANDIASTUTI, SH.",Ya
111/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 09 Okt. 2017",ALDINO HERYANTO,Ya
112/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 09 Okt. 2017",EKO BUDIARNO,Ya
113/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 09 Okt. 2017","TATI DORESLY SIMAMORA, SH",Ya
114/Pid.Sus-TPK/2017/PN Jkt.Pst,"Kamis, 19 Okt. 2017",DHENY INDARTO,Ya
75/Pid.Sus-TPK/2017/PN Jkt.Pst,"Rabu, 24 Mei 2017",EDWARD WILLY,Ya
76/Pid.Sus-TPK/2017/PN Jkt.Pst,"Selasa, 30 Mei 2017",EDWARD WILLY,Ya
82/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017",ACHMAD DINDIN JUNAEDI,Ya
81/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017","ZUHERNA, SH.",Ya
80/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017","R.IDA ISKANDIASTUTI, SH.",Ya
79/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017","RUSTIANI, SH",Ya
78/Pid.Sus-TPK/2017/PN Jkt.Pst,"Senin, 05 Jun. 2017",ALDINO HERYANTO,Ya
